United States COVID-19 Deaths ED Visits and Positivity by State
Date generated: Sat Jun 01 2024 18:34:10 GMT-0700 (Pacific Daylight Time)
State/Territory,HHS Region,Percentage of deaths due to COVID-19 in past week,Percent change percentage of deaths due to COVID-19 in past week,Absolute change percentage of deaths due to COVID-19 in past week,Deaths in the Past 3 Months,Death Rate per 100000 for the Past 3 Months,Total Deaths,Total Death rate per 100000,Percent of ED visits diagnosed as COVID-19,Percent change in % of visits diagnosed as COVID-19 from last week compared to prior week,Test positivity (%) in past week,% Change in test positivity compared with prior week,Test positivity (%) in past 2 weeks,Test positivity (%) in past 4 weeks,Test volume in past week,Test volume in past 2 weeks,Test volume in past 4 weeks
Florida,Region 4,Counts 1-9,N/A,N/A,540,1.6,83308,258.9,0.6%,21.9%,2.6,0.7,2,2.6,2998,9934,19389
Georgia,Region 4,Counts 1-9,N/A,N/A,267,2.4,37611,329.8,0.2%,22.3%,2.6,0.7,2,2.6,2998,9934,19389
Guam,N/A,Data not available,N/A,N/A,Data not available,Data not available,Data not available,Data not available,1.6%,25.8%,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,Region 9,0,N/A,N/A,16,Not Calculated (<20 deaths),2105,104.9,2.5%,51.4%,9.5,0.8,8.5,6.4,2622,5410,12574
Idaho,Region 10,0,N/A,N/A,41,2.1,5760,273.3,0.3%,-8.7%,4.4,0.3,3.8,3.4,5379,10347,20902
Illinois,Region 5,0,N/A,N/A,213,1.4,42075,273.8,0.4%,8.1%,3.2,0.1,3,3.2,9563,27785,65528
Indiana,Region 5,0,N/A,N/A,138,1.7,27215,342.9,0.2%,40.9%,3.2,0.1,3,3.2,9563,27785,65528
Iowa,Region 7,0,N/A,0,46,1.2,11688,283.1,0.2%,-21.2%,3.3,0.9,2.5,2.6,2187,8489,18192
Kansas,Region 7,0,N/A,N/A,56,1.6,11054,312.9,0.2%,-30.4%,3.3,0.9,2.5,2.6,2187,8489,18192
Kentucky,Region 4,Counts 1-9,N/A,N/A,186,3.5,21287,396.6,0.3%,-5.3%,2.6,0.7,2,2.6,2998,9934,19389
Louisiana,Region 6,0,N/A,0,90,1.7,18299,342.4,0.3%,17.1%,4.8,1.4,3.4,3.1,6449,17780,38020
Maine,Region 1,0,N/A,N/A,48,2.4,3613,180.7,0.3%,-42.4%,3.8,0.5,3.3,3.1,3364,7053,14545
Maryland,Region 3,Counts 1-9,N/A,N/A,164,2.3,19219,263.3,0.4%,-5.3%,3,0.2,2.4,2.5,1024,4045,9118
Massachusetts,Region 1,Counts 1-9,N/A,N/A,120,1.3,22093,248.3,0.5%,3.7%,3.8,0.5,3.3,3.1,3364,7053,14545
Michigan,Region 5,Counts 1-9,N/A,N/A,214,1.7,39483,310.4,0.3%,-21.6%,3.2,0.1,3,3.2,9563,27785,65528
Minnesota,Region 5,Counts 1-9,N/A,N/A,139,2,16575,239.7,N/A,N/A,3.2,0.1,3,3.2,9563,27785,65528
Mississippi,Region 4,Counts 1-9,N/A,N/A,142,4.1,15559,449.4,0.2%,-22.8%,2.6,0.7,2,2.6,2998,9934,19389
Missouri,Region 7,Counts 1-9,N/A,N/A,92,1.2,23504,303.1,N/A,N/A,3.3,0.9,2.5,2.6,2187,8489,18192
Montana,Region 8,0,N/A,0,28,2,4052,281.4,0.5%,-20.1%,3.9,1,2.8,2.9,1972,4535,8785
Nebraska,Region 7,0,N/A,0,47,2,6085,261.5,0.2%,61.7%,3.3,0.9,2.5,2.6,2187,8489,18192
Nevada,Region 9,0,N/A,N/A,43,1.3,12315,344,0.5%,4.7%,9.5,0.8,8.5,6.4,2622,5410,12574
New Hampshire,Region 1,Counts 1-9,N/A,N/A,32,1.8,3524,191.8,0.3%,19.8%,3.8,0.5,3.3,3.1,3364,7053,14545
New Jersey,Region 2,Counts 1-9,N/A,N/A,162,1.4,36693,313.7,0.4%,-9.6%,4.8,1.6,2.8,3.6,1489,2800,6145
New Mexico,Region 6,0,N/A,N/A,51,1.9,9728,375.9,0.8%,27.3%,4.8,1.4,3.4,3.1,6449,17780,38020
New York,Region 2,0.6,0,0,354,1.4,84336,326.1,0.5%,13.2%,4.8,1.6,2.8,3.6,1489,2800,6145
New York (excludes NYC),N/A,0.8,N/A,N/A,252,1.6,43970,285.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
New York City,N/A,Counts 1-9,N/A,N/A,102,1,40366,387.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
North Carolina,Region 4,Counts 1-9,N/A,N/A,341,2.9,35918,287.3,0.3%,-13.1%,2.6,0.7,2,2.6,2998,9934,19389
North Dakota,Region 8,0,N/A,N/A,16,Not Calculated (<20 deaths),2747,294.5,0.1%,-63.6%,3.9,1,2.8,2.9,1972,4535,8785
Northern Mariana Islands,N/A,Data not available,N/A,N/A,Data not available,Data not available,Data not available,Data not available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ohio,Region 5,Counts 1-9,N/A,N/A,258,1.8,51937,349.1,0.2%,6.9%,3.2,0.1,3,3.2,9563,27785,65528
Oklahoma,Region 6,0,N/A,N/A,126,2.8,20459,446.4,N/A,N/A,4.8,1.4,3.4,3.1,6449,17780,38020
Oregon,Region 10,0,N/A,N/A,81,1.6,9917,188.8,0.6%,12.1%,4.4,0.3,3.8,3.4,5379,10347,20902
Palau,N/A,Data not available,N/A,N/A,Data not available,Data not available,Data not available,Data not available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pennsylvania,Region 3,Counts 1-9,N/A,N/A,278,1.6,55205,309.2,0.2%,-23.5%,3,0.2,2.4,2.5,1024,4045,9118
Puerto Rico,Region 2,Counts 1-9,N/A,N/A,65,1.1,6810,128.7,N/A,N/A,4.8,1.6,2.8,3.6,1489,2800,6145
Republic of Marshall Islands,N/A,Data not available,N/A,N/A,Data not available,Data not available,Data not available,Data not available,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rhode Island,Region 1,0,N/A,0,20,1.3,4141,279.8,0.3%,58.8%,3.8,0.5,3.3,3.1,3364,7053,14545
South Carolina,Region 4,Counts 1-9,N/A,N/A,163,2.6,22277,344.5,0.3%,20.8%,2.6,0.7,2,2.6,2998,9934,19389
South Dakota,Region 8,0,N/A,N/A,23,2.2,3441,314.5,0.2%,-14.5%,3.9,1,2.8,2.9,1972,4535,8785
Tennessee,Region 4,Counts 1-9,N/A,N/A,187,2.3,30021,362.2,0.2%,-0.7%,2.6,0.7,2,2.6,2998,9934,19389
Texas,Region 6,Counts 1-9,N/A,N/A,389,1.4,105240,366.5,0.4%,11.7%,4.8,1.4,3.4,3.1,6449,17780,38020
United States of America,National,0.6,0,0,6632,1.7,1191702,298.4,0.4%,5.1%,4.2,0.8,3.3,3.2,37047,98178,213198
Utah,Region 8,Counts 1-9,N/A,N/A,26,1,5765,206.5,0.5%,-7.5%,3.9,1,2.8,2.9,1972,4535,8785
Vermont,Region 1,0,N/A,N/A,15,Not Calculated (<20 deaths),1166,133.3,0.3%,-27.1%,3.8,0.5,3.3,3.1,3364,7053,14545
Virgin Islands,Region 2,Data not available,N/A,N/A,Data not available,Data not available,Data not available,Data not available,N/A,N/A,4.8,1.6,2.8,3.6,1489,2800,6145
Virginia,Region 3,Counts 1-9,N/A,N/A,198,2,25049,249.8,0.4%,-2.0%,3,0.2,2.4,2.5,1024,4045,9118
Washington,Region 10,Counts 1-9,N/A,N/A,129,1.6,16026,185,0.6%,8.7%,4.4,0.3,3.8,3.4,5379,10347,20902
West Virginia,Region 3,Counts 1-9,N/A,N/A,60,2.3,9097,365.6,0.3%,-37.3%,3,0.2,2.4,2.5,1024,4045,9118
Wisconsin,Region 5,0,N/A,N/A,101,1.3,18036,243.7,0.3%,-19.0%,3.2,0.1,3,3.2,9563,27785,65528
Wyoming,Region 8,0,N/A,0,12,Not Calculated (<20 deaths),2260,321.4,0.4%,13.2%,3.9,1,2.8,2.9,1972,4535,8785
